frameNumber,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,occupiedHeights,predictedX,predictedY
152,660,300,538,305,1.3356481481481481,582.7,426.3
153,667,301,547,308,1.3101851851851851,658.9332761320945,386.0167024174409
154,679,302,563,312,1.337962962962963,591.8,435.9
155,685,305,586,316,1.3819444444444444,597.8,440.6
156,692,310,616,317,1.3888888888888888,605.3,444.7
157,715,318,639,328,1.212962962962963,614.7,446.2
158,766,315,674,327,1.2106481481481481,628.2,446.9
159,621,268,412,317,2.8333333333333335,621.1,467.2
160,621,271,467,316,2.5833333333333335,616.6,483.2
161,641,272,547,316,1.7592592592592593,616.7,481.2
162,791,250,623,310,2.0694444444444446,627.5,484.5
163,843,220,696,292,1.5277777777777777,643.7,476.3
164,920,229,744,283,1.1712962962962963,664.8,465.9
165,1034,389,893,397,1.0787037037037037,3105.6983448616347,1785.3349681682269
166,320,219,283,218,0.45601851851851855,662.3,439.9
167,324,221,288,220,0.4537037037037037,625.2,419.7
168,329,221,293,223,0.4583333333333333,584.3,399.6
169,333,221,296,223,0.46064814814814814,564.1,359.8
170,337,221,299,223,0.4652777777777778,541.5,324.2
171,341,221,303,222,0.4699074074074074,581.9118249209682,306.1
172,345,221,306,222,0.47453703703703703,601.3206176825213,282.5
173,350,222,311,223,0.4837962962962963,432.2,271.5
174,355,225,316,224,0.48842592592592593,382.5,262.4
175,362,226,324,226,0.5023148148148148,320.5,246.4
176,373,225,334,226,0.5138888888888888,325.7,248.0
177,382,225,340,226,0.5208333333333334,331.2,249.6
178,389,224,344,226,0.5254629629629629,336.7,251.3
179,394,224,349,226,0.5324074074074074,342.4,252.5
180,400,224,355,226,0.5462962962962963,348.3,253.7
181,406,226,361,228,0.5532407407407407,354.4,254.8
182,411,227,366,229,0.5625,360.7,255.9
183,417,229,372,231,0.5740740740740741,419.7176364470337,256.4
184,423,228,377,230,0.5717592592592593,622.6844543622411,256.5
185,428,228,381,230,0.5949074074074074,379.7,256.4
186,434,228,385,229,0.5902777777777778,385.3,256.9
187,439,228,390,229,0.5972222222222222,390.6,258.1
188,444,229,395,230,0.5949074074074074,395.9,259.4
189,451,231,400,232,0.6018518518518519,401.3,261.1
190,459,232,406,234,0.6087962962962963,406.8,262.7
191,466,231,412,234,0.6134259259259259,412.4,264.4
192,474,231,417,233,0.6157407407407407,418.1,266.1
193,480,231,422,233,0.6412037037037037,423.8,268.1
194,487,231,428,233,0.6597222222222222,429.5,270.4
195,494,232,433,234,0.6597222222222222,520.6807127489958,258.28654787516734
196,500,236,438,236,0.6574074074074074,670.9575552538714,254.87020372884405
197,505,236,443,237,0.6759259259259259,447.4,275.4
198,510,237,447,238,0.6805555555555556,453.3,277.0
199,515,236,451,237,0.6828703703703703,557.6443230020282,258.4911353995944
200,521,236,456,238,0.6967592592592593,464.7,279.4
201,527,237,461,238,0.7129629629629629,470.2,280.9
202,534,239,467,241,0.7337962962962963,475.7,282.8
203,542,242,472,244,0.7731481481481481,481.3,285.4
204,554,247,481,247,0.7754629629629629,487.3,287.6
205,565,247,489,248,0.8125,493.7,290.6
206,576,246,496,248,0.8402777777777778,500.4,294.1
207,587,246,504,248,0.8912037037037037,507.5,297.9
208,596,247,511,249,0.9305555555555556,515.0,302.2
209,606,250,517,252,0.9675925925925926,522.8,307.3
210,615,256,523,257,0.9953703703703703,530.9,313.0
211,622,262,531,261,1.0069444444444444,539.1,319.0
212,630,263,540,264,1.0393518518518519,547.6,325.6
213,638,261,546,263,1.1064814814814814,556.1,331.5
214,650,261,557,261,1.0787037037037037,564.7,337.6
215,663,260,567,261,1.1180555555555556,573.5,343.6
216,675,260,581,260,1.1342592592592593,582.7,349.3
217,693,263,595,264,1.1689814814814814,592.6,355.0
218,710,270,613,269,1.2337962962962963,603.4,361.3
219,741,278,635,274,1.2708333333333333,616.1,367.9
220,767,276,664,276,1.3263888888888888,630.7,374.9
221,811,273,698,275,1.2384259259259258,648.5,379.8
222,845,273,727,274,1.2361111111111112,668.6,383.0
223,876,291,750,302,0.4398148148148148,690.7,377.7
224,876,317,813,331,0.43287037037037035,714.8,373.2
225,227,318,51,327,1.8773148148148149,-12784.836576238613,4607.079550849267
226,224,319,48,328,1.8981481481481481,-5904.494605858073,2461.6015495852403
227,212,323,42,330,1.9606481481481481,540.3981910913315,471.04766028207723
228,187,330,33,332,1.9583333333333333,511.2,442.4
229,156,339,15,342,1.9444444444444444,450.9,460.0
230,174,332,81,332,1.962962962962963,652.2569880559638,490.7033522385861
231,374,322,212,308,2.0925925925925926,3689.8283275471917,492.3
232,364,315,219,295,2.1550925925925926,3582.911113308649,610.5954607716052
233,323,315,215,297,2.175925925925926,-42.716342249107555,523.6538026250406
234,305,315,191,298,2.127314814814815,-342.77003271595925,475.7909249067043
235,249,330,164,314,1.2685185185185186,-493.51093135624814,-2183.7437254249926
236,201,349,94,317,1.0972222222222223,44.38101623055067,234.37254763398357
237,179,349,0,318,1.8009259259259258,186.5,523.9
238,138,349,-63,296,1.2013888888888888,179.2,505.2
239,53,325,-128,286,1.099537037037037,-444.04181424167393,221.43149259021914
240,-44,354,-145,323,0.9259259259259259,-2426.7543174894595,-515.7357263217648
241,-136,363,-195,361,0.9236111111111112,98.8,443.8
242,260,208,226,210,0.48148148148148145,926.9438884084695,181.01721413613117
243,265,208,226,211,0.49074074074074076,91.6,377.4
244,271,208,229,211,0.5347222222222222,91.8,345.7
245,277,208,232,211,0.5370370370370371,96.6,330.9
246,282,207,235,211,0.5555555555555556,107.7,319.5
247,287,207,238,212,0.5717592592592593,125.0,294.1
248,292,207,242,214,0.5856481481481481,148.0,281.1
249,296,208,246,216,0.5925925925925926,178.9,271.2
250,301,208,250,217,0.6018518518518519,215.9,263.0
251,307,208,254,216,0.6041666666666666,260.5,245.4
252,312,208,259,216,0.6157407407407407,264.7,247.2
253,317,208,265,216,0.6157407407407407,269.3,248.0
254,323,208,270,215,0.6388888888888888,273.9,248.6
255,329,209,275,215,0.6643518518518519,278.7,250.1
256,338,211,280,216,0.6805555555555556,283.8,251.8
257,344,211,286,218,0.6828703703703703,289.1,253.5
258,352,212,293,219,0.6851851851851852,294.6,255.3
259,361,212,299,218,0.6990740740740741,300.5,257.2
260,366,211,304,218,0.7106481481481481,306.5,259.2
261,373,210,309,218,0.7199074074074074,312.6,261.5
262,380,210,313,218,0.7407407407407407,318.7,263.3
263,387,210,317,220,0.7361111111111112,448.67013770930066,203.1649311453497
264,393,212,322,224,0.7291666666666666,518.191491422942,198.3940031189302
265,397,213,325,225,0.7245370370370371,336.8,267.1
266,402,213,328,224,0.7361111111111112,342.4,267.8
267,407,213,332,224,0.6342592592592593,434.8272405000145,-278.3202531250905
268,412,213,337,224,0.7731481481481481,353.0,266.2
269,417,212,340,223,0.8125,357.8,267.5
270,426,213,344,223,0.8171296296296297,362.8,268.7
271,432,214,349,225,0.6851851851851852,446.00756752050074,-187.38389161890433
272,439,218,356,229,0.8912037037037037,372.8,269.2
273,450,218,365,229,0.9398148148148148,378.3,272.7
274,464,218,372,228,0.9814814814814815,384.4,276.8
275,474,217,378,228,1.0046296296296295,390.9,281.0
276,484,217,383,228,1.0393518518518519,397.7,285.3
277,492,216,389,228,1.0717592592592593,404.8,292.7
278,501,216,397,229,1.1180555555555556,412.3,298.4
279,509,217,402,232,1.1435185185185186,420.0,304.0
280,514,219,402,234,1.1805555555555556,427.3,310.6
281,520,220,404,234,1.2199074074074074,513.4932558053754,419.3415697567192
282,528,219,408,234,1.2662037037037037,529.5286926204834,405.535823358435
283,535,219,412,234,1.3240740740740742,448.2,332.0
284,544,219,415,233,1.3703703703703705,454.3,337.6
285,551,220,418,234,1.4236111111111112,460.1,343.7
286,559,221,424,235,1.4606481481481481,465.9,350.2
287,568,222,433,236,1.4699074074074074,471.9,356.3
288,584,224,442,238,1.5115740740740742,478.3,362.1
289,600,225,455,239,1.5555555555555556,485.5,367.9
290,617,224,466,238,1.6064814814814814,493.8,373.1
291,635,224,481,239,1.6712962962962963,503.4,378.7
292,654,224,502,239,1.6736111111111112,514.4,383.5
293,673,224,523,238,1.6828703703703705,526.9,387.9
294,688,224,540,240,1.75,540.4,393.1
295,702,222,570,239,1.6990740740740742,555.6,396.2
296,718,222,607,238,1.3449074074074074,572.7,392.4
297,777,221,652,237,1.0462962962962963,594.1,382.0
298,865,202,700,216,1.1273148148148149,621.0,372.6
299,870,182,804,184,0.7777777777777778,652.0,352.7
