frameNumber,windowSize,XYError,timeToFuture,time,fps,currentCenterX,currentCenterY,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,angleOfApproach,XFrameSpeed,YFrameSpeed,occupiedHeights,predictedX,predictedY
59,4,10,1.5,1657504489.4895442,13.549506709653244,426,192,411,150,442,156,113.02356350080115,-57.296104038030705,-14.324026009507676,0.5416666666666666,380.7911643053477,151.17642919074055
60,4,10,1.5,1657504489.5610335,14.122378340521959,412,194,430,152,394,155,113.9718003622444,-127.3879235579373,7.07710686432985,0.5509259259259259,372.8911643053477,150.77642919074054
61,4,10,1.5,1657504489.6368299,13.988100637656412,403,196,423,152,383,155,114.9184531991123,-124.36779836916234,13.81864426324026,0.5416666666666666,377.5788054434738,157.32024975980363
62,4,10,1.5,1657504489.7086382,13.193244692730401,398,199,415,152,381,155,115.86572307069214,-110.76235864603888,20.76794224613229,0.5625,372.9118514024916,159.7367727393125
63,4,10,1.5,1657504489.7804613,13.925959373941684,388,198,412,153,365,160,116.78596201790042,-143.23879256469013,-14.323879256469013,0.5509259259259259,363.71346701190464,166.54707919555938
64,4,10,1.5,1657504489.8552468,13.923093265349479,380,197,403,154,358,160,117.5460200971288,-123.61760111603415,-13.735289012892684,0.5509259259259259,351.48016677431707,165.91004583582742
65,4,10,1.5,1657504489.92506,13.371581232684994,374,204,392,155,356,158,118.189776218773,-111.40681190617167,23.20975248045243,0.5578703703703703,350.43608149725213,176.4470668685918
66,4,10,1.5,1657504489.9998605,14.323928173814451,361,205,383,155,340,158,118.84059887081257,-127.48780525874342,20.6736981500665,0.5601851851851852,356.39397049913777,190.05758833172584
67,4,10,1.5,1657504490.0716681,13.368896141979244,355,191,380,151,331,156,119.56070874393706,-84.7325582569873,-197.70930259963703,0.5601851851851852,341.6939853162346,161.8032502204851
68,4,10,1.5,1657504490.1454713,13.92609808654539,345,184,368,151,323,155,120.05006800903553,-110.63973634620552,-145.21465395439475,0.5648148148148148,326.9281923731442,145.22942342183333
69,4,10,1.5,1657504490.2152827,13.549550480854652,333,198,353,149,314,153,120.17575903673924,-130.58173553755765,-32.64543388438941,0.5555555555555556,312.48590287572586,144.54385104747874
70,4,10,1.5,1657504490.2920878,14.3243195246064,324,199,309,149,339,146,120.2419361215814,-127.05163140030095,-20.602967254102857,0.5787037037037037,291.27236925251566,143.0308455950663
71,4,10,1.5,1657504490.3648849,13.019966226283898,316,198,298,148,335,146,120.59366455170661,-111.42247282049239,-13.927809102561548,0.5810185185185185,276.7214133419106,142.49947610624065
72,4,10,1.5,1657504490.4347107,13.736818489976518,310,198,305,145,315,146,121.23692658435603,-98.86147500273586,-7.061533928766846,0.5763888888888888,263.74339537153895,142.1010462512141
73,4,10,1.5,1657504490.5045207,14.321336014832468,299,196,313,141,286,144,121.93492566039153,-118.24533706218003,-14.189440447461603,0.5902777777777778,258.4278918622385,141.964177470946
74,4,10,1.5,1657504490.5753214,14.324613051734266,293,198,304,142,282,145,122.59473825945756,-109.83749007416918,-3.5431448411022317,0.5902777777777778,238.12899865609683,142.07114007442863
75,4,10,1.5,1657504490.6471298,14.124137931034483,281,198,296,145,267,149,123.22282835336244,-169.46796948127596,0.0,0.5879629629629629,228.82899865609684,141.47114007442863
76,4,10,1.5,1657504490.7219286,13.925959373941684,269,198,285,145,253,152,123.81502459986338,-164.82319827748532,0.0,0.5902777777777778,219.62899865609683,140.77114007442862
77,4,10,1.5,1657504490.7967348,13.36919443213729,258,198,270,148,246,155,124.3609643762369,-158.7942077144659,0.0,0.5810185185185185,222.43310981432728,170.647399443633
78,4,10,1.5,1657504490.8665466,13.36787353391127,247,196,262,152,233,156,124.87732501334801,-159.04580095408693,-6.915034824090736,0.5833333333333334,208.79328413122184,188.19415274014
79,4,10,1.5,1657504490.9343727,14.324221684903625,235,191,252,152,218,156,125.39933343744752,-179.59296923505107,-74.83040384793794,0.5856481481481481,186.70361812596724,180.08790374439454
80,4,10,1.5,1657504491.0061715,14.743601550883533,233,187,236,150,230,154,125.9269916573604,-100.9923000586482,-64.92362146627384,0.5856481481481481,175.39033409018018,171.49795498745166
81,4,10,1.5,1657504491.0779777,13.927809102561548,217,185,236,150,199,154,126.44497669690602,-142.56367144525882,-52.2733461965949,0.5879629629629629,156.1578439083281,165.362060909043
82,4,10,1.5,1657504491.1537738,13.926375520043031,209,184,218,145,200,148,126.94481647534109,-132.76010588586118,-41.92424396395616,0.5925925925925926,144.54739700129613,162.46413343436313
83,4,10,1.5,1657504491.224586,13.193286192405445,204,185,206,140,202,147,127.38527341367157,-71.61988545747002,14.323977091494005,0.5972222222222222,149.81331846819972,163.13604401039157
84,4,10,1.5,1657504491.2970726,14.121855303560848,191,185,173,137,209,141,127.77542431107219,-126.49151389442714,7.027306327468175,0.6041666666666666,156.04551191192897,162.3661147666409
85,4,10,1.5,1657504491.3718727,13.795645838746706,184,192,169,138,200,141,128.17808947194032,-115.15271316807893,36.84886821378526,0.6087962962962963,146.34551191192898,161.7661147666409
86,4,10,1.5,1657504491.4426827,13.368981366380437,172,193,156,135,189,142,128.6427841164046,-128.5116442763225,31.25958914829466,0.6180555555555556,136.64551191192896,161.2661147666409
87,4,10,1.5,1657504491.5120082,14.122283240010908,162,200,162,135,163,141,128.94471920248213,-146.35104957570343,102.44573470299241,0.625,127.04551191192897,161.46611476664089
88,4,10,1.5,1657504491.5878057,14.21764229323372,150,203,130,136,170,142,129.1100883175669,-152.64377429653769,69.3835337711535,0.6226851851851852,134.19827640455105,162.89884365762447
